-1120790798|0
1921149361|0
805148192|1
1253022418|1
-1680469340|1
-737110663|1
575971443|1
2131577458|1
-1894605266|1
-287518695|0
-792113140|1
164277450|1
-614682119|1
-786772213|0
-452261497|1
1440637574|0
59762764|1
-1026991217|1
1866958607|1
-945003678|1
-1890757910|1
-1088989175|1
-1206579626|1
1872839047|1
1550557140|1
-926319931|0
563729500|1
-989106594|0
-835250025|1
-73850232|1
215833890|1
1425342804|0
443953956|1
-1157667026|1
-1397892705|1
-723886695|0
-1667144125|0
-2042320205|0
-787645782|1
1899829748|1
-141415471|1
-213447775|1
474781104|2
1960138232|1
165029542|1
1297814090|0
-1629329378|0
1633992108|1
-1899632550|1
1427678041|1
461923418|1
-229330279|0
-1745720702|1
1207478471|1
-1363182826|1
270024247|1
